SNo,Name,County,Population(2012 est.),Population-2010,Land area
47,DuPont,Pierce,8808,8199,5.86 sq mi (15.2km2)
48,Duvall,King,7183,6695,2.47 sq mi (6.4km2)
49,East Wenatchee,Douglas,13439,13190,3.80 sq mi (9.8km2)
50,Edgewood,Pierce,9501,9387,8.41 sq mi (21.8km2)
51,Edmonds,Snohomish,40400,39709,8.91 sq mi (23.1km2)
52,Electric City,Grant,1004,968,1.70 sq mi (4.4km2)
53,Ellensburg,Kittitas,18348,18174,6.92 sq mi (17.9km2)
54,Elma,Grays Harbor,3095,3107,1.89 sq mi (4.9km2)
55,Entiat,Chelan,1129,1112,2.11 sq mi (5.5km2)
56,Enumclaw,King,11327,10669,4.26 sq mi (11.0km2)
,,Pierce,,,
57,Ephrata,Grant,7916,7664,10.09 sq mi (26.1km2)
58,Everett,Snohomish,"1,04,655","1,03,019",33.45 sq mi (86.6km2)
59,Everson,Whatcom,2513,2481,1.24 sq mi (3.2km2)
60,Federal Way,King,91933,89306,22.26 sq mi (57.7km2)
61,Ferndale,Whatcom,11998,11415,6.61 sq mi (17.1km2)
62,Fife,Pierce,9333,9173,5.68 sq mi (14.7km2)
63,Fircrest,Pierce,6579,6497,1.58 sq mi (4.1km2)
64,Forks,Clallam,3552,3532,3.65 sq mi (9.5km2)
65,George,Grant,514,501,1.33 sq mi (3.4km2)
66,Gig Harbor,Pierce,7549,7126,5.95 sq mi (15.4km2)
67,Gold Bar,Snohomish,2101,2075,1.03 sq mi (2.7km2)
68,Goldendale,Klickitat,3471,3407,2.52 sq mi (6.5km2)
69,Grand Coulee,Grant,1044,988,1.19 sq mi (3.1km2)
70,Grandview,Yakima,11012,10862,6.23 sq mi (16.1km2)
71,Granger,Yakima,3298,3246,1.79 sq mi (4.6km2)
72,Granite Falls,Snohomish,3416,3364,2.18 sq mi (5.6km2)
73,Harrington,Lincoln,420,424,0.38 sq mi (0.98km2)
74,Hoquiam,Grays Harbor,8535,8726,9.02 sq mi (23.4km2)
75,Ilwaco,Pacific,936,936,2.10 sq mi (5.4km2)
76,Issaquah,King,32633,30434,11.38 sq mi (29.5km2)
77,Kahlotus,Franklin,204,193,0.47 sq mi (1.2km2)
78,Kalama,Cowlitz,2346,2344,2.77 sq mi (7.2km2)
79,Kelso,Cowlitz,11832,11925,8.14 sq mi (21.1km2)
80,Kenmore,King,21280,20460,6.15 sq mi (15.9km2)
81,Kennewick,Benton,75971,73917,26.93 sq mi (69.7km2)
82,Kent,King,"1,22,999",92411,28.63 sq mi (74.2km2)
83,Kettle Falls,Stevens,1593,1595,1.07 sq mi (2.8km2)
84,Kirkland,King,50697,48787,10.79 sq mi (27.9km2)
85,Kittitas,Kittitas,1405,1381,0.76 sq mi (2.0km2)
86,La Center,Clark,2852,2800,1.27 sq mi (3.3km2)
87,Lacey,Thurston,43860,42393,16.06 sq mi (41.6km2)
88,Lake Forest Park,King,12972,12598,3.53 sq mi (9.1km2)
89,Lake Stevens,Snohomish,29104,28069,8.88 sq mi (23.0km2)
90,Lakewood,Pierce,58852,58163,17.17 sq mi (44.5km2)
91,Langley,Island,1041,1035,1.08 sq mi (2.8km2)
92,Leavenworth,Chelan,1993,1965,1.23 sq mi (3.2km2)
93,Liberty Lake,Spokane,7889,7591,6.14 sq mi (15.9km2)
94,Long Beach,Pacific,1393,1392,1.35 sq mi (3.5km2)
95,Longview,Cowlitz,36458,36648,14.48 sq mi (37.5km2)
96,Lynden,Whatcom,12605,11951,5.17 sq mi (13.4km2)
97,Lynnwood,Snohomish,36275,35836,7.84 sq mi (20.3km2)
98,Mabton,Yakima,2324,2286,0.80 sq mi (2.1km2)
99,Maple Valley,King,24171,22684,5.72 sq mi (14.8km2)
100,Marysville,Snohomish,62402,60020,20.68 sq mi (53.6km2)
101,Mattawa,Grant,4543,4437,0.74 sq mi (1.9km2)
102,McCleary,Grays Harbor,1647,1653,2.05 sq mi (5.3km2)
103,Medical Lake,Spokane,4940,5060,3.40 sq mi (8.8km2)
104,Medina,King,3029,2969,1.44 sq mi (3.7km2)
105,Mercer Island,King,23661,22699,6.32 sq mi (16.4km2)
106,Mesa,Franklin,518,489,1.64 sq mi (4.2km2)
107,Mill Creek,Snohomish,18671,18244,4.67 sq mi (12.1km2)
108,Millwood,Spokane,1797,1786,0.70 sq mi (1.8km2)
109,Milton,Pierce,7048,6968,2.51 sq mi (6.5km2)
,,King,,,
110,Monroe,Snohomish,17503,17304,6.05 sq mi (15.7km2)
111,Montesano,Grays Harbor,3962,3976,10.41 sq mi (27.0km2)
112,Morton,Lewis,1132,1126,0.82 sq mi (2.1km2)
113,Moses Lake,Grant,21182,20366,15.75 sq mi (40.8km2)
114,Mossyrock,Lewis,764,759,0.68 sq mi (1.8km2)
115,Mount Vernon,Skagit,32287,31743,12.30 sq mi (31.9km2)
116,Mountlake Terrace,Snohomish,20198,19909,4.06 sq mi (10.5km2)
117,Moxee,Yakima,3361,3308,1.69 sq mi (4.4km2)
118,Mukilteo,Snohomish,20605,20254,6.40 sq mi (16.6km2)
119,Napavine,Lewis,1778,1766,2.38 sq mi (6.2km2)
120,Newcastle,King,10792,10380,4.45 sq mi (11.5km2)
121,Newport,Pend Oreille,2116,2126,1.07 sq mi (2.8km2)
122,Nooksack,Whatcom,1355,1338,0.70 sq mi (1.8km2)
123,Normandy Park,King,6504,6335,2.52 sq mi (6.5km2)
124,North Bend,King,6030,5731,4.27 sq mi (11.1km2)
125,North Bonneville,Skamania,963,956,2.41 sq mi (6.2km2)
126,Oak Harbor,Island,22260,22075,9.42 sq mi (24.4km2)
127,Oakville,Grays Harbor,682,684,0.50 sq mi (1.3km2)
128,Ocean Shores,Grays Harbor,5622,5569,8.51 sq mi (22.0km2)
129,Okanogan,Okanogan,2568,2552,1.95 sq mi (5.1km2)
130,Olympia,Thurston,47698,46478,17.82 sq mi (46.2km2)
131,Omak,Okanogan,4881,4845,3.50 sq mi (9.1km2)
132,Oroville,Okanogan,1698,1686,1.64 sq mi (4.2km2)
133,Orting,Pierce,6872,6746,2.73 sq mi (7.1km2)
134,Othello,Adams,7532,7364,3.81 sq mi (9.9km2)
135,Pacific,King,6838,6606,2.42 sq mi (6.3km2)
,,Pierce,,,
136,Palouse,Whitman,1011,998,1.08 sq mi (2.8km2)
137,Pasco,Franklin,65398,59781,30.50 sq mi (79.0km2)
138,Pateros,Okanogan,673,667,0.49 sq mi (1.3km2)
139,Pomeroy,Garfield,1422,1425,1.78 sq mi (4.6km2)
140,Port Angeles,Clallam,19056,19038,10.70 sq mi (27.7km2)
141,Port Orchard,Kitsap,11680,11144,7.24 sq mi (18.8km2)
142,Port Townsend,Jefferson,9117,9113,6.98 sq mi (18.1km2)
143,Poulsbo,Kitsap,9393,9200,4.67 sq mi (12.1km2)
144,Prescott,Walla Walla,323,318,0.40 sq mi (1.0km2)
145,Prosser,Benton,5799,5714,4.49 sq mi (11.6km2)
146,Pullman,Whitman,31359,29799,9.88 sq mi (25.6km2)
147,Puyallup,Pierce,38147,37022,13.93 sq mi (36.1km2)
148,Quincy,Grant,7013,6750,4.96 sq mi (12.8km2)
149,Rainier,Thurston,1826,1794,1.73 sq mi (4.5km2)
150,Raymond,Pacific,2883,2882,4.06 sq mi (10.5km2)
151,Redmond,King,56561,54144,16.28 sq mi (42.2km2)
152,Renton,King,95448,90927,23.12 sq mi (59.9km2)
153,Republic,Ferry,1093,1073,1.59 sq mi (4.1km2)
154,Richland,Benton,51440,48058,35.72 sq mi (92.5km2)
155,Ridgefield,Clark,5260,4763,7.08 sq mi (18.3km2)
156,Ritzville,Adams,1699,1673,1.70 sq mi (4.4km2)
157,Rock Island,Douglas,799,788,0.61 sq mi (1.6km2)
158,Roslyn,Kittitas,910,893,4.37 sq mi (11.3km2)
159,Roy,Pierce,803,793,0.49 sq mi (1.3km2)
160,Royal City,Grant,2193,2140,1.35 sq mi (3.5km2)
161,Ruston,Pierce,759,749,0.26 sq mi (0.67km2)
162,Sammamish,King,49069,45780,18.22 sq mi (47.2km2)
163,SeaTac,King,27667,26909,10.03 sq mi (26.0km2)
164,Seattle,King,"6,34,535","6,08,660",83.94 sq mi (217.4km2)
165,Sedro-Woolley,Skagit,10636,10540,3.81 sq mi (9.9km2)
166,Selah,Yakima,7333,7147,4.44 sq mi (11.5km2)
167,Sequim,Clallam,6624,6606,6.31 sq mi (16.3km2)
168,Shelton,Mason,9800,9834,5.76 sq mi (14.9km2)
169,Shoreline,King,54352,53007,11.67 sq mi (30.2km2)
170,Snohomish,Snohomish,9275,9098,3.44 sq mi (8.9km2)
171,Snoqualmie,King,11594,10670,6.40 sq mi (16.6km2)
172,Soap Lake,Grant,1550,1514,1.25 sq mi (3.2km2)
173,South Bend,Pacific,1631,1637,1.62 sq mi (4.2km2)
174,Spangle,Spokane,280,278,0.36 sq mi (0.93km2)
175,Spokane,Spokane,"2,09,525","2,08,916",59.25 sq mi (153.5km2)
176,Spokane Valley,Spokane,90641,89755,37.77 sq mi (97.8km2)
177,Sprague,Lincoln,441,446,0.63 sq mi (1.6km2)
178,Stanwood,Snohomish,6422,6231,2.82 sq mi (7.3km2)
179,Stevenson,Skamania,1473,1465,1.64 sq mi (4.2km2)
180,Sultan,Snohomish,4710,4651,3.15 sq mi (8.2km2)
181,Sumas,Whatcom,1325,1307,1.48 sq mi (3.8km2)
182,Sumner,Pierce,9541,9451,7.51 sq mi (19.5km2)
183,Sunnyside,Yakima,16054,15858,6.63 sq mi (17.2km2)
184,Tacoma,Pierce,"2,02,010","1,98,397",49.72 sq mi (128.8km2)
185,Tekoa,Whitman,787,778,1.14 sq mi (3.0km2)
186,Tenino,Thurston,1724,1695,1.44 sq mi (3.7km2)
187,Tieton,Yakima,1211,1191,0.82 sq mi (2.1km2)
188,Toledo,Lewis,729,725,0.40 sq mi (1.0km2)
189,Tonasket,Okanogan,1038,1032,0.80 sq mi (2.1km2)
190,Toppenish,Yakima,9017,8949,2.09 sq mi (5.4km2)
191,Tukwila,King,19611,19107,9.17 sq mi (23.8km2)
192,Tumwater,Thurston,18102,17371,14.32 sq mi (37.1km2)
193,Union Gap,Yakima,6060,6047,5.05 sq mi (13.1km2)
194,University Place,Pierce,31562,31144,8.42 sq mi (21.8km2)
195,Vader,Lewis,626,621,0.93 sq mi (2.4km2)
196,Vancouver,Clark,"1,65,489","1,61,791",46.46 sq mi (120.3km2)
197,Waitsburg,Walla Walla,1235,1217,1.11 sq mi (2.9km2)
198,Walla Walla,Walla Walla,31864,31731,12.80 sq mi (33.2km2)
199,Wapato,Yakima,5065,4997,1.17 sq mi (3.0km2)
200,Warden,Grant,2758,2692,2.58 sq mi (6.7km2)
201,Washougal,Clark,14584,14095,5.42 sq mi (14.0km2)
202,Wenatchee,Chelan,32562,31925,7.77 sq mi (20.1km2)
203,West Richland,Benton,12663,11811,21.92 sq mi (56.8km2)
204,Westport,Grays Harbor,2092,2099,3.70 sq mi (9.6km2)
205,White Salmon,Klickitat,2266,2224,1.22 sq mi (3.2km2)
206,Winlock,Lewis,1346,1339,1.29 sq mi (3.3km2)
207,Woodinville,King,11234,10938,5.60 sq mi (14.5km2)
208,Woodland,Cowlitz,5540,5509,3.37 sq mi (8.7km2)
,,Clark,,,
209,Woodway,Snohomish,1324,1307,1.11 sq mi (2.9km2)
210,Yakima,Yakima,93101,91067,27.18 sq mi (70.4km2)
211,Yelm,Thurston,7121,6848,5.68 sq mi (14.7km2)
212,Zillah,Yakima,3011,2964,1.78 sq mi (4.6km2)
,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,
,,,,,
Original source : en.wikipedia.org/wiki/List_of_cities_in_Washington,,,,,
